time;prec;;;;;;;;;;;;
30/04/2018;null;;;;;;;;;;;;
31/05/2018;80,4;;;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3
30/06/2018;22,6;;;;;;;;;;;;
31/07/2018;2,6;;;;;;;;;;;;
31/08/2018;62,6;;;;;;;;;;;;
30/09/2018;207,6;;;;;;;;;;;;
31/10/2018;344,4;;;;;;;;;;;;
30/11/2018;181,4;;;;;;;;;;;;
31/12/2018;null;;;;;;;;;;;;
31/01/2019;146,2;;;;;;;;;;;;
28/02/2019;167,2;;;;;;;;;;;;
31/03/2019;249,4;;;;;;;;;;;;
30/04/2019;83,4;;;;;;;;;;;;
31/05/2019;88,6;;;;;;;;;;;;
30/06/2019;44,4;;;;;;;;;;;;
31/07/2019;32,2;;;;;;;;;;;;
31/08/2019;7,8;;;;;;;;;;;;
30/09/2019;null;;;;;;;;;;;;
31/10/2019;null;;;;;;;;;;;;
30/11/2019;null;;;;;;;;;;;;
31/12/2019;null;;;;;;;;;;;;
31/01/2020;null;;;;;;;;;;;;
29/02/2020;null;;;;;;;;;;;;
31/03/2020;null;;;;;;;;;;;;
30/04/2020;null;;;;;;;;;;;;
31/05/2020;null;;;;;;;;;;;;
30/06/2020;null;;;;;;;;;;;;
31/07/2020;null;;;;;;;;;;;;
31/08/2020;null;;;;;;;;;;;;
30/09/2020;null;;;;;;;;;;;;
31/10/2020;null;;;;;;;;;;;;
30/11/2020;null;;;;;;;;;;;;
31/12/2020;null;;;;;;;;;;;;
31/01/2021;null;;;;;;;;;;;;
28/02/2021;null;;;;;;;;;;;;
31/03/2021;null;;;;;;;;;;;;
30/04/2021;null;;;;;;;;;;;;
31/05/2021;null;;;;;;;;;;;;
30/06/2021;null;;;;;;;;;;;;
31/07/2021;null;;;;;;;;;;;;
31/08/2021;null;;;;;;;;;;;;
30/09/2021;null;;;;;;;;;;;;
31/10/2021;null;;;;;;;;;;;;
30/11/2021;null;;;;;;;;;;;;
31/12/2021;null;;;;;;;;;;;;
